objectid,username,date,status,side,notes,lat,lng,specclass,dateUTC,created_user,created_date,last_edited_user,last_edited_date,obs_type,groupname,Total Birds,Alive,Dead,location,species,tag,collision_time,status_dead,status_alive,collected,body_inaccessible,alpha_code,GlobalID,Unknown,status_unknown,sighted,rehab_centre,case_number,observations,third_party,third_party_involvement,x,y
1132729,amreintamasne,,Dead,East,"He was still alive after the collision, but due to the severity of his injuries, we could no longer save her.",,,,"2/17/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,"7743, Romonya, Pécsi Járás, Baranya, Szőlő utca (distance from point: 60m)",Turdus merula,Ecological Farm and Bird-Nest Box Station,7:00-7:59 am,,,,,,f463523d-dc08-4c3d-92fc-7000153148bd,,,,,,,,,18.341,46.09
1132730,iburrell,,Dead,South,"Outdoor Adventure Center, South side on sidewalk",,,,"2/7/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,"1801 Atwater St, Detroit, Michigan, 48207 (distance from point: 33m)",Rock Pigeon,,Unknown,,,,,,e3ee575c-08c9-4300-9c2a-f61e54d3a2b4,,,,,,,,,-83.027,42.333
1133129,KathJohnson,,Dead,South,CUSRT non-migration survey. B04. Found 9:50 am.   Feather pile in shrub near large window.,,,,"2/19/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Calgary Urban Species Response Team,1,0,1,Eighth Avenue Eyecare (distance from point: 6m),Downy Woodpecker,,Unknown,,,,,,d7f09fb8-1465-4bde-9c0d-08cad730d125,,,,,,,,,-114.073,51.046
1133529,wilkinbp,,Dead,Northeast,Identified by barring in central retrices,,,,"2/21/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,"905 E Jackie Robinson Dr, Durham, North Carolina, 27701 (distance from point: 9m)",Yellow-bellied Sapsucker,,Unknown,,,,,,379743b5-111f-4060-8ada-ce8b86d19a05,,,,,,,,,-78.902,35.991
1133530,Murrdogg,,Dead,Northwest,,,,,"1/31/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,"Burnham Mall, Cleveland, Ohio, 44114 (distance from point: 1m)",White-throated Sparrow,,Unknown,,,,,,88befe64-2035-4eeb-884d-a5b6218f626e,,,,,,,,,-81.695,41.505
1133531,Murrdogg,,Dead,Northeast,,,,,"1/30/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,"1275 Ontario St, Cleveland, Ohio, 44113 (distance from point: 36m)",Dark-eyed Junco,,Unknown,,,,,,4bad8920-8cd5-46f9-80c1-3cf671a2ea85,,,,,,,,,-81.695,41.502
1133532,Murrdogg,,Dead,Northwest,,,,,"1/27/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,"Burnham Mall, Cleveland, Ohio, 44114 (distance from point: 1m)",American Robin,,Unknown,,,,,,a49170e7-5f7f-4b63-8d2c-97e6223db2d3,,,,,,,,,-81.695,41.505
1133533,Murrdogg,,Dead,North,,,,,"1/27/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,Erieview Plaza (distance from point: 13m),American Robin,,Unknown,,,,,,e2e883ab-bd87-4197-a265-b240892638e4,,,,,,,,,-81.695,41.505
1133534,Murrdogg,,Dead,North,,,,,"1/26/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,Erieview Plaza (distance from point: 13m),American Robin,,Unknown,,,,,,326fdad5-d2cc-41a7-a297-56aae5273e15,,,,,,,,,-81.695,41.505
1133535,Murrdogg,,Dead,Southwest,,,,,"1/26/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,Erieview Plaza (distance from point: 22m),American Robin,,Unknown,,,,,,ab91dfc6-f65c-42ec-bbfa-7fa9988ff12d,,,,,,,,,-81.695,41.505
1133929,hkbws_1957,,Dead,East,Reported by Bosco.,,,,"2/22/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Hong Kong Bird Watching Society,1,0,1,One 2 Crack Roastery Limited (distance from point: 12m),Spotted Dove,,Unknown,,,,,,db98c490-ed1b-4880-b9df-47f67a6e7f7d,,,,,,,,,114.134,22.365
1134329,TOOCHILL,,Alive,Northeast,,,,,"2/27/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,1,0,"French River, Ontario (distance from point: 0m)",Black-capped Chickadee,,12:00-12:59 pm,,,,,,f19f28cc-8d6e-497a-b5af-bbe21a5b51fd,,,,,,,,,-80.568,46.069
1134729,Murrdogg,,Dead,Northwest,,,,,"2/28/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,"Burnham Mall, Cleveland, Ohio, 44114 (distance from point: 1m)",American Robin,,Unknown,,,,,,fe4e8c63-f109-4862-9aea-90ab1290392d,,,,,,,,,-81.695,41.505
1135129,Murrdogg,,Dead,South,,,,,"3/2/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,United States Postal Service (USPS) (distance from point: 20m),Cooper's Hawk,,Unknown,,,,,,12ca943b-a47f-471f-9140-cc6a856098f6,,,,,,,,,-81.692,41.505
1135529,cwelshERS,,Dead,West,Juvenile found dead on the slope beneath STEM building's lower stairwell windows. ,,,,"3/3/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,"2700-2725 Notaiah Rd, Estes Park, Colorado, 80517 (distance from point: 75m)",Western Tanager,,Unknown,,,,,,742be04f-0c8f-499c-a10d-c7fffe5b60c3,,,,,,,,,-105.469,40.4
1135929,BOBull,,Dead,Southwest,,,,,"3/5/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Hong Kong Bird Watching Society,1,0,1,嘉華國際中心小巴站 (distance from point: 8m),Zosterops sp.,,Unknown,,,,,,4009b63c-e5ca-4d20-a4ea-5f1e3d6a4886,,,,,,,,,114.205,22.293
1136330,bhall,,Alive,Northeast,,,,,"3/8/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,1,0,"19 Slant Street, Careys Bay, Dunedin, Otago, 9023 (distance from point: 0m)",Thrush sp.,,8:00-8:59 am,,,,,,e403d65c-03c0-47a0-87c1-8dc88b6bc4c0,,,,,,,,,170.621,-45.808
1136331,Yizhi,,Alive,Northwest,,,,,"3/7/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,1,0,"2055 Purcell Way, Unit LB, North Vancouver, British Columbia, V7J 3H5 (distance from point: 9m)",Varied Thrush,,8:00-8:59 am,,,,,,e7de3107-480d-4ae7-bc7a-8ac4f9645c80,,,,,,,,,-123.02,49.317
1136729,hkbws_1957,,Dead,Northwest,Photo provided by HK Leung.,,,,"3/5/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Hong Kong Bird Watching Society,1,0,1,泰金香小廚 (distance from point: 16m),Spotted Dove,電氣道228號,Unknown,,,,,,96ca19c4-24bb-4f55-bd3f-568095bd425b,,,,,,,,,114.193,22.289
1136730,Sze,,Multiple,Northeast,info from public post in Facebook Group named Tai Po,,,,"3/6/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,25,0,25,新界大埔區大埔滘科技大道西 (distance from point: 1m),Indochinese Yuhina,,Unknown,,,,,,d6027b17-704c-4931-92e0-eaefa2095339,,,,,,,,,114.209,22.427
1136731,jmold040,,Alive,West,Delivered to Toronto Wildlife Centre for care,,,,"3/7/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,1,0,World Communications (distance from point: 12m),American Woodcock,,3:00-3:59 pm,,,,,,57cb7919-4e4e-43f8-8c77-4fb194648ad6,,,,,,,,,-79.383,43.641
1136732,cramsey,,Alive,Southwest,,,,,"3/4/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,Detroit Zoological Society,1,1,0,"176 Lakeside, Detroit, Michigan, 48207 (distance from point: 26m)",Red-winged Blackbird,,Unknown,,,,,,9261856d-bcb9-4b7c-93e4-d4799d41b531,,,,,,,,,-82.964,42.347
1136735,Ncros23,,Alive,Unknown,,,,,"2/24/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,1,0,Selwyn Ridge Primary School (distance from point: 19m),New Zealand Falcon,,Unknown,,,,,,08929ec6-3293-482c-b56b-accd3f30ecc2,,,,,,,,,176.182,-37.733
1137129,wsp247,,Dead,North,Appears to be a robin (but it's upside down). I've seen a few hawks  over the past year or so dead in same spot. There is a university library with HUGE glass windows right there which are the crux of the issue.,,,,"3/9/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,0,1,Thawley Stanley E MD Wshngtn Unvrsty Schl of Mdcne (distance from point: 16m),American Robin,,Unknown,,,,,,8778f568-02b3-4bd8-b617-3d3506c741cd,,,,,,,,,-90.263,38.635
1137130,UrbanWildlifeTrust,,Alive,Southeast,Kererū was rescued 35 minutes after window strike. Taken to The Nest Te Kōhanga at Wellington Zoo,,,,"2/27/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,1,0,"14 Mairangi Road, Wadestown, Wellington, 6012 (distance from point: 15m)",Hemiphaga novaeseelandiae,,10:00-10:59 am,,,,,,23b50a9b-6228-489d-b452-271bbec0be28,,,,,,,,,174.77,-41.264
1137131,UrbanWildlifeTrust,,Alive,Unknown,Kererū was rescued 2hrs after being notified of the window strike. Taken to The Nest Te Kōhanga at Wellington Zoo.  X-rays showed coracoid had been displaced by the impact and was pointing directly at the heart. Bird was euthanised due to injuries,,,,"2/23/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,1,0,"34 Kaitangata Crescent, Kelson, Lower Hutt, Wellington, 5010 (distance from point: 32m)",Hemiphaga novaeseelandiae,,10:00-10:59 am,,,,,,6dd78a3f-1492-48e0-952a-b87a93b8435f,,,,,,,,,174.939,-41.169
1137132,UrbanWildlifeTrust,,Alive,Unknown,Kererū was hit by a car. rescued 60 minutes after the car strike. Taken to The Nest Te Kōhanga at Wellington Zoo. Bird passed away over night.,,,,"3/2/23, 7:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,,1,1,0,"561 Broadway, Miramar, Wellington, 6022 (distance from point: 7m)",Hemiphaga novaeseelandiae,,8:00-8:59 am,,,,,,501816c0-ba1f-4178-9e81-5bc3d858cd90,,,,,,,,,174.825,-41.324
1138329,flap_programs@yahoo.com,,Dead,East,Reported to FC by member of public,,,,"3/14/23, 8:00 AM",flap@flap.org,"3/16/23, 12:37 PM",flap@flap.org,"3/16/23, 12:37 PM",Standard,FLAP Canada,1,0,1,"Hwy 401, Pickering, Ontario, L1V (distance from point: 1m)",European Starling,,Unknown,,,,,,4e63d4c1-4257-4110-93b8-fd888c7237e9,,,,,,,,,-79.085,43.832
1138350,username not found,"16 3月 2023, 14:00",Dead,West,"This case is reported by Joy. A Chestnut Bulbul was spotted outside the K Wah Centre building in North Point. From the mark on the window, the height was around G-1 floor. ",22.293306,114.204566,,"3/16/23, 2:00 AM",,"3/22/23, 11:35 PM",broughk,"11/14/23, 9:37 AM",,,1,0,1,,Unknown,,14:00-14:59,Intact,,No,,,3eadc732-6648-4779-80e0-31f0c9fe201e,,,,,,,,,114.205,22.293
1138352,username not found,"23 Mär 2023, 09:00",Dead,Southwest,On the outside of a Busstop,52.500728,13.209566,,"3/23/23, 4:56 AM",,"3/23/23, 4:58 AM",,"3/23/23, 4:58 AM",,,1,0,1,,European Robin,,09:00-9:59,Intact,,No,,,cf941b11-09d7-474c-8655-7200467c5513,,,,,,,,,13.21,52.501
1138353,CEES.IU.Indianapolis,"17 Mar 2023, 14:00",Dead,North,,39.773143,-86.173628,,"3/17/23, 2:50 PM",,"3/24/23, 8:45 AM",CEES.IU.Indianapolis,"7/3/25, 12:35 PM",,,1,0,1,,American Robin,,14:00-14:59,Intact,,Yes,,,8c443603-2886-4495-84dd-ab60b6175f14,,,,,,,,,-86.174,39.773
1138354,username not found,"24 3月 2023, 11:00",Dead,South,"Prosperity Millennia Plaza, 663 King’s Road, North Point. on the side facing King’s Road. 2 dead birds. seem like window collision. cloudy day.",22.291593,114.208131,,"3/23/23, 11:10 PM",,"3/24/23, 9:58 AM",,"3/24/23, 10:21 AM",,,1,0,1,,Chestnut Bulbul,,11:00-11:59,Intact,,No,,,5c6c11c8-ff65-418b-8b72-c666f9374a27,,,,,,,,,114.208,22.292
1138360,username not found,"16 Mar 2023, 14:00",Dead,Northeast,,41.502491,-81.694958,,"3/16/23, 2:25 PM",,"3/25/23, 8:27 PM",,"3/25/23, 8:27 PM",,,1,0,1,,Song Sparrow,,14:00-14:59,Intact,,No,,,d471400c-5b35-47a6-8887-b12f8d74339d,,,,,,,,,-81.695,41.502
1138361,username not found,"22 Mar 2023, 06:00",Alive,Northwest,Attempted capture while on a Light's Out walk downtown. It evaded us ,41.497198,-81.689013,,"3/22/23, 6:17 AM",,"3/25/23, 8:31 PM",,"3/25/23, 8:31 PM",,,1,1,0,,American Woodcock,,06:00-6:59,,Sighted,,,,4f875b57-4751-4365-87c3-de5ed4309169,,,,,,,,,-81.689,41.497
1138362,username not found,"21 3月 2023, 09:00",Dead,Southwest,,22.313206,114.219571,,"3/20/23, 9:31 PM",,"3/25/23, 11:20 PM",,"3/25/23, 11:20 PM",,,1,0,1,,White's Thrush,,09:00-9:59,Intact,,No,,,dc2b0895-f92c-433b-858a-1c4152b0735c,,,,,,,,,114.22,22.313
1138364,flap_programs@yahoo.com,"21 Mar 2023, 10:00",Alive,Southeast,TWC #2023-0460. Blood in beak. Called in by finder who saw hit several times and moved it to garden area. FLAP later fond it in same spot.,43.646432,-79.378336,,"3/21/23, 10:00 AM",,"3/27/23, 9:27 AM",flap@flap.org,"1/24/24, 11:16 AM",,FLAP Canada,1,1,0,,American Woodcock,,10:00-10:59,,Rehab Centre,,,AMWO,7af5a936-a9a6-40c6-8535-0a6c44c16410,,,,,,,,,-79.378,43.646
1138365,dkguevara,"19 Mar 2023, 08:00",Dead,West,Overcast morning. Windows are very close to a heavily forested area. 8 other species were heard singing closeby. I called Krista Degroot but she was not available to take the body. ,49.267631,-123.259301,,"3/19/23, 8:22 AM",,"3/27/23, 1:00 PM",flap@flap.org,"1/31/24, 10:29 AM",,FLAP Canada,1,0,1,,Varied Thrush,,08:00-8:59,Intact,,No,,,bba69981-bb2b-411d-89e2-76b221c8f386,,,,,,,,,-123.259,49.268
1138367,yuko5613,"26 Mar 2023, 15:00",Dead,North,,43.648751,-79.385720,,"3/26/23, 3:03 PM",yuko5613,"3/27/23, 7:04 PM",yuko5613,"4/7/23, 11:24 AM",,FLAP Canada,1,0,1,,American Woodcock,231781,15:00-15:59,Intact,,Yes,,AMWO,64150728-526a-4be6-afaa-d379df823983,,,,,,,,,-79.386,43.649
1138368,yuko5613,"26 Mar 2023, 15:00",Dead,North,,43.645760,-79.386543,,"3/26/23, 3:30 PM",yuko5613,"3/27/23, 7:16 PM",yuko5613,"3/27/23, 7:16 PM",,FLAP Canada,1,0,1,,Unknown,,15:00-15:59,Decayed,,No,,,85cf26f9-8841-4577-8d72-0869704152cb,,,,,,,,,-79.387,43.646
1138369,yuko5613,"26 Mar 2023, 15:00",Dead,Northeast,Woodcock feather stuck to window with small pool of blood below,43.648094,-79.385371,,"3/26/23, 3:10 PM",yuko5613,"3/27/23, 7:23 PM",yuko5613,"3/27/23, 7:23 PM",,FLAP Canada,1,0,1,,American Woodcock,,15:00-15:59,Body Inaccessible,,,Other,Amwo,859a6777-1403-4427-b283-f8c8ea233e66,,,,,,,,,-79.385,43.648
1138370,yuko5613,"26 Mar 2023, 13:00",Alive,West,It was reported by someone on FB. I went to check around 3pm but not able to locate.,43.646723,-79.384073,,"3/26/23, 1:00 PM",yuko5613,"3/27/23, 8:18 PM",yuko5613,"3/27/23, 8:20 PM",,FLAP Canada,1,1,0,,American Woodcock,,13:00-13:59,,Sighted,,,Amwo,f28f24c9-a48a-431e-a0a7-13f0796fea4d,,,,,,,,,-79.384,43.647
1138372,flap_programs@yahoo.com,"28 Mar 2023, 09:00",Dead,South,Called in to FC. Male.,43.644898,-79.383294,,"3/28/23, 9:15 AM",flap_programs@yahoo.com,"3/28/23, 12:18 PM",flap_programs@yahoo.com,"4/24/23, 11:09 AM",,FLAP Canada,1,0,1,,Red-winged Blackbird,230001,09:00-9:59,Intact,,Yes,,RWBL,56d341be-f8fa-4e9e-8512-01fcc6e02bfb,0,,,,,,,,-79.383,43.645
1138373,username not found,"29 Mär 2023, 17:00",Dead,Northeast,,52.488389,13.249866,,"3/29/23, 11:45 AM",,"3/29/23, 11:50 AM",,"3/29/23, 11:50 AM",,,1,0,1,,Dunnock,,17:00-17:59,Intact,,No,,,1be36e06-c8be-4647-813b-ae4425875838,,,,,,,,,13.25,52.488
